date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:51	3830/3830	---M--	200	added ('OK')	text/html	etag:%22d6f83e95-ef6-49d20e9f7ff48%22	http://jumpgate.co.uk/JOSSH/database/medals/medal2.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal2.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:51	587/587	---M--	200	added ('OK')	image/gif	etag:%2266d93447-24b-49d2155d36ab8%22	http://jumpgate.co.uk/JOSSH/media/medals/medal2.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal2.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:51	3837/3837	---M--	200	added ('OK')	text/html	etag:%221ef51767-efd-49d20ea5a4770%22	http://jumpgate.co.uk/JOSSH/database/medals/medal3.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal3.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:52	1017/1017	---M--	200	added ('OK')	image/gif	etag:%22da6b8c9b-3f9-49d2156309e18%22	http://jumpgate.co.uk/JOSSH/media/medals/medal3.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal3.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:52	3803/3803	---M--	200	added ('OK')	text/html	etag:%22d13160e6-edb-49d20ea7ab438%22	http://jumpgate.co.uk/JOSSH/database/medals/medal4.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal4.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:52	578/578	---M--	200	added ('OK')	image/gif	etag:%2283a8e3f2-242-49d2156516c88%22	http://jumpgate.co.uk/JOSSH/media/medals/medal4.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal4.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:52	3833/3833	---M--	200	added ('OK')	text/html	etag:%2272af924e-ef9-49d20eaac91d8%22	http://jumpgate.co.uk/JOSSH/database/medals/medal5.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal5.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:53	539/539	---M--	200	added ('OK')	image/gif	etag:%22d72566c6-21b-49d21567f5288%22	http://jumpgate.co.uk/JOSSH/media/medals/medal5.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal5.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:53	3857/3857	---M--	200	added ('OK')	text/html	etag:%2248a05d34-f11-49d20eacec3c0%22	http://jumpgate.co.uk/JOSSH/database/medals/medal6.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal6.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:53	570/570	---M--	200	added ('OK')	image/gif	etag:%22ab67cf95-23a-49d2156a97798%22	http://jumpgate.co.uk/JOSSH/media/medals/medal6.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal6.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:53	3069/3069	---M--	200	added ('OK')	text/html	etag:%22a860144f-bfd-49d20ead470e0%22	http://jumpgate.co.uk/JOSSH/database/medals/medal7.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal7.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:54	604/604	---M--	200	added ('OK')	image/gif	etag:%22596765f3-25c-49d2156b74aa8%22	http://jumpgate.co.uk/JOSSH/media/medals/medal7.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal7.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:54	3787/3787	---M--	200	added ('OK')	text/html	etag:%22a7547241-ecb-49d20eb278280%22	http://jumpgate.co.uk/JOSSH/database/medals/medal8.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal8.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:54	580/580	---M--	200	added ('OK')	image/gif	etag:%22dda09e06-244-49d2156eb6298%22	http://jumpgate.co.uk/JOSSH/media/medals/medal8.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal8.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:54	3848/3848	---M--	200	added ('OK')	text/html	etag:%229a90afa6-f08-49d20eb44baf8%22	http://jumpgate.co.uk/JOSSH/database/medals/medal9.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal9.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:55	613/613	---M--	200	added ('OK')	image/gif	etag:%22a1e23755-265-49d215707b498%22	http://jumpgate.co.uk/JOSSH/media/medals/medal9.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal9.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:55	3876/3876	---M--	200	added ('OK')	text/html	etag:%221b46c547-f24-49d20e8284470%22	http://jumpgate.co.uk/JOSSH/database/medals/medal10.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal10.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:55	378/378	---M--	200	added ('OK')	image/gif	etag:%222c3c7d6f-17a-49d2152c649f8%22	http://jumpgate.co.uk/JOSSH/media/medals/medal10.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal10.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:55	3753/3753	---M--	200	added ('OK')	text/html	etag:%22c64251db-ea9-49d20e8562a70%22	http://jumpgate.co.uk/JOSSH/database/medals/medal11.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal11.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
